City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.3428,57.7575,79.0,100,75,14.97,MU,1619514532
Albany,42.6001,-73.9662,41.0,47,98,4.83,US,1619514823
Ushuaia,-54.8,-68.3,41.0,87,75,2.3,AR,1619514823
Mataura,-46.1927,168.8643,43.0,87,98,1.01,NZ,1619514823
Kavaratti,10.5669,72.642,84.99,72,100,5.59,IN,1619514823
Hobart,-42.8794,147.3294,57.2,67,20,5.75,AU,1619514756
Ponta do Sol,32.6667,-17.1,66.2,59,20,11.5,PT,1619514568
Busselton,-33.65,115.3333,73.99,64,5,1.99,AU,1619514824
Nikolskoye,59.7035,30.7861,39.2,81,90,8.95,RU,1619514825
Port Hardy,50.6996,-127.4199,46.4,93,75,4.61,CA,1619514825
Tromsø,69.6496,18.957,33.8,60,40,9.22,NO,1619514825
Necochea,-38.5473,-58.7368,51.75,87,0,7.63,AR,1619514825
Punta Arenas,-53.15,-70.9167,44.6,93,0,3.44,CL,1619514825
Kyabram,-36.3167,145.05,63.0,58,49,7.56,AU,1619514825
Tuktoyaktuk,69.4541,-133.0374,-1.37,93,6,8.79,CA,1619514826
Saskylakh,71.9167,114.0833,22.59,94,100,11.43,RU,1619514569
Zanjān,36.6736,48.4787,66.2,30,75,9.22,IR,1619514826
Sulangan,11.1373,123.7228,82.56,67,11,10.71,PH,1619514547
Rikitea,-23.1203,-134.9692,76.86,74,98,7.61,PF,1619514826
Beringovskiy,63.05,179.3167,29.1,98,75,4.16,RU,1619514826
Tashtyp,52.7939,89.8983,47.68,78,100,7.83,RU,1619514827
Cidreira,-30.1811,-50.2056,61.45,76,73,9.19,BR,1619514546
Fortuna,40.5982,-124.1573,43.0,100,1,5.75,US,1619514827
Tiksi,71.6872,128.8694,14.16,90,95,3.91,RU,1619514827
Port Alfred,-33.5906,26.891,71.85,68,49,17.52,ZA,1619514827
Puerto Peñasco,31.3167,-113.5333,63.0,61,93,4.0,MX,1619514827
Ocampo,21.65,-101.5,60.55,65,83,4.25,MX,1619514827
Yellowknife,62.456,-114.3525,0.0,78,20,6.91,CA,1619514827
Atuona,-9.8,-139.0333,79.7,74,91,16.35,PF,1619514827
Tadine,-21.55,167.8833,72.61,71,6,16.84,NC,1619514828
Ponta Delgada,37.7333,-25.6667,59.0,82,75,9.22,PT,1619514828
